restaurant_id,name,category,ratings,review_counts,zip_code
Gc8xWVpbUlBYHAoOT9MTyQ,La Cubana,Cuban,4.0,212,M6J 2Z4
Bf2fuqWbHd3L-X69FSMvmg,El Trompo Taco Bar,Mexican,4.0,336,M5T 2M1
Jmay78aOzmyWHkpviqUEGA,Actinolite Restaurant,Canadian (New),4.0,80,M6G 3V5
QaxDKkqYTtVYZJcqBNTnvQ,Yummy Yummy Dumplings,Chinese,4.0,265,M5T 2A8
-eJmNm0j12v1wuyIkfj7yQ,Honest Weight,Seafood,4.5,123,M6P 1Y3
mG71gQ5HWl7ut9OCN6NJKA,360 Restaurant,Canadian (New),3.5,871,M5V 2T6
KBUjHejDR4Ttsx8TcqWENQ,Imonay House Restaurant,Korean,4.0,77,M6G 1L1
PlYrlj86zAYljZTRCBSZ3A,Nom Nom Nom Poutine,Poutineries,4.5,113,M5T 2W6
LBQD0H2109oltJNF1raLWA,The Haam,Japanese,4.0,245,M5V 1R7
Sk0Ycurq7D083Qs8x65b_Q,George Restaurant,Canadian (New),4.5,262,M5C 1S2
gAxeeJKwJtxp3uH9zUQ2aQ,A-Game Cafe,Cafes,4.5,92,M6J 1V2
HHvO4MgBFabsmlInou6viQ,Le Baratin,French,4.5,98,M6K 1T8
IfUkm42SB9D0m_ZbkQ711A,The Fish Store & Sandwiches,Sandwiches,4.0,144,M6G 1B7
nrq5H3LZicjMG0wv7gy08g,Kintaro Izakaya,Japanese,4.0,194,M4Y 4C5
FML0YqZ7dLBBC3Suap4_4Q,416 Snack Bar,Tapas/Small Plates,4.0,318,M5T 2R7
y-Iw6dZflNix4BdwIyTNGA,Indie Ale House,Breweries,4.0,246,M6P 1Y9
z1jWE9gO4ehWJESM_H7zpA,Icha Tea,Coffee & Tea,4.0,185,M5T 2E2
yY3jNsrpCyKTqQuRuLV8gw,Cactus Club Cafe,Cocktail Bars,4.0,517,M5H 1P9
C6vH0qzmcerMkiJy3VO9qA,Estiatorio Volos,Seafood,4.0,304,M5H 2L3
ejKXczjEkm1gzyRdblQm8w,Fresh on Spadina,Vegan,4.0,395,M5V 2L7
dhvePGMLjWvl4fhk9lgxew,Civil Liberties,Cocktail Bars,4.5,41,M6G 1M2
oRy013Ovh_RtEouO-rGX2A,Veggie D'Light,Caribbean,4.5,79,M5T 3K7
KR8ErN2eKUlmohxmYDLBBg,Koh Lipe Thai Kitchen,Thai,4.0,193,M5T 1L1
ieour3mPrdGm1cCg1IwN8w,Kiyo,Japanese,4.5,34,M5R 3J1
dRjU-uxMeInyYgBb61Ap7A,Itacate,Mexican,4.5,41,M6E 1A2
i2sSSIrgQg1fVjqYXZLvNA,PAT Central Market,Grocery,4.0,86,M6G 1L3
O1TvPrgkK2bUo5O5aSZ7lw,Rol San,Dim Sum,3.5,737,M5T 2E9
QPVc_HQYcQicsowyeMPpkA,Tallboys Craft Beer House,Pubs,4.0,89,M6G 1M2
c78Pat78fVUBFPXYeVvbaQ,Oddseoul,Korean,4.0,306,M6J 2Z4
QjhrYO6LD5mrU0WI7jxZ-g,Little Pebbles,Desserts,4.0,132,M5T 3K7
YJ05ntGlszxACOD5zn1YjA,The Burger's Priest,Burgers,4.0,378,M5V 2A9
OlklbRrfBIlc6obPtZPF3w,CANO Restaurant,Italian,4.5,47,M6E 1A7
VEMX1R4xtF5AXwKlNMyDVg,High Park,Parks,4.5,141,M6P 3K7
A7waf6G3cvnLfAqKeLL8DA,Buca,Italian,4.0,420,M5V 1M6
fqBnZxSkG287OOyU9LvTig,Bar Hop,Bars,4.0,308,M5V 1K1
QNfh79NwsNnl-AngRhg2ww,Kingyo Izakaya,Japanese,4.0,336,M4X 1R7
h8vVxwP6FnlkRDONKBHT-w,Chubby's Jamaican Kitchen,Caribbean,4.0,252,M5V 2N2
y769FA7VJOW4QQYdYlR62A,Levetto,Italian,4.0,229,M6J 3S7
wNXw53wmePcf_V3rF18LUg,Grazie Ristorante,Italian,4.0,416,M4P 2C8
wK1SMAzIpHh-KYbrs7m0nA,California Sandwiches,Sandwiches,4.0,141,M6J 2N2
RyDiwx4xD3Lx8sWHx1aFlQ,Smoque N' Bones,Barbeque,4.0,380,M6J 1G4
dd3GZs6zW2t7BM0cbxAzvg,La Palette,French,4.0,230,M5V 2B3
SOkat3uLjX__3-tCowhlHg,Rudy,Burgers,4.0,155,M5V 2C5
_u1Bq7QsgMUXSMex8QHqLQ,Burrito Boyz,Mexican,4.0,417,M5H 1W7
gy5pr5bFAjOL5rERSdMCLg,The Keg Steakhouse + Bar,Steakhouses,4.0,267,M5H 3R8
LBHbyID7tcaGszznHtnCrw,JOEY Eaton Centre,Canadian (New),3.5,480,M5G 1Z3
PiLfiQYyDNgBaAvSL58cqg,Okonomi House Restaurant,Japanese,4.0,269,M4Y 2R4
qaNt4vtVdge_S68DVjw5Jg,The Queen And Beaver Public House,Pubs,4.0,380,M5G 1H1
7DW2fsInJRfOHMTj2Z6fJw,Brock Sandwich,Salad,4.5,102,M6H 1N5
86W-L1l70wL-7n0lSfoY-Q,Rush Hour,Portuguese,4.5,43,M6H 3L1
5dy8OiWJty9AuxBcBzeBZQ,Piano Piano,Italian,3.5,249,M5S 1G5
1N5cHdQi_DdK0XpvfpSyRw,Queen of Persia,Persian/Iranian,4.5,34,M6C 1B1
PGRVqqPqR2hIZNRLqlPxag,Good Hombres,Mexican,4.5,73,M5T 2S6
ZdaZwXC0FByDY3EwNELphw,Union,French,4.0,213,M6J 2Y7
uuuNWBNHdYk8EOwjxmI8OA,Randy's Take-Out,Caribbean,4.5,74,M6E 2G9
G12kABl0tfK4ylgj8XF06w,Voodoo Child,Coffee & Tea,4.0,133,M5T 1S7
IRF1hPi3GuxJ-EpoEpzI7Q,Hockey Hall of Fame,Museums,4.5,181,M5E 1X8
bzMO8LJmJtgo3KuyWGKUxA,Homemade Ramen,Chinese,4.0,252,M5T 2E3
BY0o4pOtNPKyTklTFXDJpg,Dineen Coffee,Coffee & Tea,4.0,357,M5C 2L7
2cKAew-9iLS-mo-TtOgFiA,Raku,Japanese,4.0,221,M5V 2A8
7IF5cjvH1d97pzvYPnf9Mg,Savera Indian Cuisine,Indian,4.0,56,M6C 1B9
